=== MATCH START ===
turn=1 active=P2 phase=MAIN result=ONGOING
P1 leader_hp=12 | P2 leader_hp=9
    -> result=ONGOING P1_HP=9 P2_HP=9 board=P1 폰#1@2F(1/1); P1 폰#3@1D(1/1); P1 폰#2@2B(1/1); P1 군주@4D(9/12); P1 비숍@2C(2/3); P1 룩@1C(2/4); P2 비숍@5D(4/4); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(1/3) | note=random_step=67
T8 P1 MAIN | 턴 종료
    -> result=ONGOING P1_HP=9 P2_HP=9 board=P1 폰#1@2F(1/1); P1 폰#3@1D(1/1); P1 폰#2@2B(1/1); P1 군주@4D(9/12); P1 비숍@2C(2/3); P1 룩@1C(2/4); P2 비숍@5D(4/4); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(1/3) | note=random_step=68
T9 P2 MAIN | P2 룩 공격 -> P1 폰#1
    -> result=ONGOING P1_HP=9 P2_HP=9 board=P1 폰#3@1D(1/1); P1 폰#2@2B(1/1); P1 군주@4D(9/12); P1 비숍@2C(2/3); P1 룩@1C(2/4); P2 비숍@5D(4/4); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(1/3) | note=random_step=69
T9 P2 MAIN | 귤 나무 사용 | 대상=P1 폰#2
    -> result=ONGOING P1_HP=9 P2_HP=9 board=P1 폰#3@1D(1/1); P1 군주@4D(9/12); P1 비숍@2C(2/3); P1 룩@1C(2/4); P2 비숍@5D(4/4); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@3F(1/3) | note=random_step=70
T9 P2 MAIN | P2 나이트 이동 -> 1E
    -> result=ONGOING P1_HP=9 P2_HP=9 board=P1 폰#3@1D(1/1); P1 군주@4D(9/12); P1 비숍@2C(2/3); P1 룩@1C(2/4); P2 비숍@5D(4/4); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@1E(1/3) | note=random_step=71
T9 P2 MAIN | 귤 요정 소환 -> 6C
    -> result=ONGOING P1_HP=9 P2_HP=9 board=P1 폰#3@1D(1/1); P1 군주@4D(9/12); P1 비숍@2C(2/3); P1 룩@1C(2/4); P2 비숍@5D(4/4); P2 폰#2@6C(1/1); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@1E(1/3) | note=random_step=72
T9 P2 MAIN | P2 폰#1 공격 -> P1 군주
    -> result=ONGOING P1_HP=8 P2_HP=9 board=P1 폰#3@1D(1/1); P1 군주@4D(8/12); P1 비숍@2C(2/3); P1 룩@1C(2/4); P2 비숍@5D(4/4); P2 폰#2@6C(1/1); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@1E(1/3) | note=random_step=73
T9 P2 MAIN | 턴 종료
    -> result=ONGOING P1_HP=8 P2_HP=9 board=P1 군주@4D(8/12); P1 비숍@2C(2/3); P1 룩@1C(2/4); P2 비숍@5D(4/4); P2 폰#2@6C(1/1); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@1E(1/3) | note=random_step=74
T10 P1 MAIN | P1 룩 이동 -> 1A
    -> result=ONGOING P1_HP=8 P2_HP=9 board=P1 군주@4D(8/12); P1 비숍@2C(2/3); P1 룩@1A(2/4); P2 비숍@5D(4/4); P2 폰#2@6C(1/1); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@1E(1/3) | note=random_step=75
T10 P1 MAIN | The King 사용 | 대상=P1 군주 | 위치=3C
    -> result=ONGOING P1_HP=8 P2_HP=9 board=P1 군주@3C(8/12); P1 비숍@2C(2/3); P1 룩@1A(2/4); P2 비숍@5D(4/4); P2 폰#2@6C(1/1); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@1E(1/3) | note=random_step=76
T10 P1 MAIN | The Knight 소환 -> 1D
    -> result=ONGOING P1_HP=8 P2_HP=9 board=P1 군주@3C(8/12); P1 비숍@2C(2/3); P1 룩@1A(2/4); P1 나이트@1D(3/3); P2 비숍@5D(4/4); P2 폰#2@6C(1/1); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@1E(1/3) | note=random_step=77
T10 P1 MAIN | P1 비숍 이동 -> 3D
    -> result=ONGOING P1_HP=8 P2_HP=9 board=P1 군주@3C(8/12); P1 비숍@3D(2/3); P1 룩@1A(2/4); P1 나이트@1D(3/3); P2 비숍@5D(4/4); P2 폰#2@6C(1/1); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(9/9); P2 폰#1@5E(1/1); P2 나이트@1E(1/3) | note=random_step=78
T10 P1 MAIN | P1 군주 공격 -> P2 군주
    -> result=ONGOING P1_HP=8 P2_HP=6 board=P1 군주@3C(8/12); P1 비숍@3D(2/3); P1 룩@1A(2/4); P1 나이트@1D(3/3); P2 비숍@5D(4/4); P2 폰#2@6C(1/1); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(6/9); P2 폰#1@5E(1/1); P2 나이트@1E(1/3) | note=random_step=79
T10 P1 MAIN | Pawn 소환 -> 1C
    -> result=ONGOING P1_HP=8 P2_HP=6 board=P1 폰#1@1C(1/1); P1 군주@3C(8/12); P1 비숍@3D(2/3); P1 룩@1A(2/4); P1 나이트@1D(3/3); P2 비숍@5D(4/4); P2 폰#2@6C(1/1); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(6/9); P2 폰#1@5E(1/1); P2 나이트@1E(1/3) | note=random_step=80
T10 P1 MAIN | P1 폰#1 이동 -> 2C
    -> result=ONGOING P1_HP=8 P2_HP=6 board=P1 폰#1@2C(1/1); P1 군주@3C(8/12); P1 비숍@3D(2/3); P1 룩@1A(2/4); P1 나이트@1D(3/3); P2 비숍@5D(4/4); P2 폰#2@6C(1/1); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(6/9); P2 폰#1@5E(1/1); P2 나이트@1E(1/3) | note=random_step=81
T10 P1 MAIN | 턴 종료
    -> result=ONGOING P1_HP=8 P2_HP=6 board=P1 폰#1@2C(1/1); P1 군주@3C(8/12); P1 비숍@3D(2/3); P1 룩@1A(2/4); P1 나이트@1D(3/3); P2 비숍@5D(4/4); P2 폰#2@6C(1/1); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@3B(6/9); P2 폰#1@5E(1/1); P2 나이트@1E(1/3) | note=random_step=82
T11 P2 MAIN | P2 군주 이동 -> 2A
    -> result=ONGOING P1_HP=8 P2_HP=6 board=P1 폰#1@2C(1/1); P1 군주@3C(8/12); P1 비숍@3D(2/3); P1 룩@1A(2/4); P1 나이트@1D(3/3); P2 비숍@5D(4/4); P2 폰#2@6C(1/1); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@2A(6/9); P2 폰#1@5E(1/1); P2 나이트@1E(1/3) | note=random_step=83
T11 P2 MAIN | 귤 요정 사용 | 대상=P2 룩, P1 폰#1
    -> result=ONGOING P1_HP=8 P2_HP=6 board=P1 군주@3C(8/12); P1 비숍@3D(2/3); P1 룩@1A(2/4); P1 나이트@1D(3/3); P2 비숍@5D(4/4); P2 폰#2@6C(1/1); P2 폰#3@4A(1/1); P2 룩@2D(3/3); P2 군주@2A(6/9); P2 폰#1@5E(1/1); P2 나이트@1E(1/3) | note=random_step=84
T11 P2 MAIN | P2 룩 이동 -> 2F
    -> result=ONGOING P1_HP=8 P2_HP=6 board=P1 군주@3C(8/12); P1 비숍@3D(2/3); P1 룩@1A(2/4); P1 나이트@1D(3/3); P2 비숍@5D(4/4); P2 폰#2@6C(1/1); P2 폰#3@4A(1/1); P2 룩@2F(3/3); P2 군주@2A(6/9); P2 폰#1@5E(1/1); P2 나이트@1E(1/3) | note=random_step=85
T11 P2 MAIN | P2 비숍 이동 -> 4E
    -> result=ONGOING P1_HP=8 P2_HP=6 board=P1 군주@3C(8/12); P1 비숍@3D(2/3); P1 룩@1A(2/4); P1 나이트@1D(3/3); P2 비숍@4E(4/4); P2 폰#2@6C(1/1); P2 폰#3@4A(1/1); P2 룩@2F(3/3); P2 군주@2A(6/9); P2 폰#1@5E(1/1); P2 나이트@1E(1/3) | note=random_step=86
T11 P2 MAIN | 귤 요정 사용 | 대상=P2 나이트, P1 비숍
    -> result=ONGOING P1_HP=8 P2_HP=6 board=P1 군주@3C(8/12); P1 룩@1A(2/4); P1 나이트@1D(3/3); P2 비숍@4E(4/4); P2 폰#2@6C(1/1); P2 폰#3@4A(1/1); P2 룩@2F(3/3); P2 군주@2A(6/9); P2 폰#1@5E(1/1); P2 나이트@1E(1/3) | note=random_step=87
T11 P2 MAIN | P2 나이트 이동 -> 3F
    -> result=ONGOING P1_HP=8 P2_HP=6 board=P1 군주@3C(8/12); P1 룩@1A(2/4); P1 나이트@1D(3/3); P2 비숍@4E(4/4); P2 폰#2@6C(1/1); P2 폰#3@4A(1/1); P2 룩@2F(3/3); P2 군주@2A(6/9); P2 폰#1@5E(1/1); P2 나이트@3F(1/3) | note=random_step=88
T11 P2 MAIN | P2 폰#2 이동 -> 5C
    -> result=ONGOING P1_HP=8 P2_HP=6 board=P1 군주@3C(8/12); P1 룩@1A(2/4); P1 나이트@1D(3/3); P2 비숍@4E(4/4); P2 폰#2@5C(1/1); P2 폰#3@4A(1/1); P2 룩@2F(3/3); P2 군주@2A(6/9); P2 폰#1@5E(1/1); P2 나이트@3F(1/3) | note=random_step=89
T11 P2 MAIN | P2 군주 공격 -> P1 룩
    -> result=ONGOING P1_HP=8 P2_HP=6 board=P1 군주@3C(8/12); P1 나이트@1D(3/3); P2 비숍@4E(4/4); P2 폰#2@5C(1/1); P2 폰#3@4A(1/1); P2 룩@2F(3/3); P2 군주@2A(6/9); P2 폰#1@5E(1/1); P2 나이트@3F(1/3) | note=random_step=90
T11 P2 MAIN | P2 폰#3 이동 -> 3A
    -> result=ONGOING P1_HP=8 P2_HP=6 board=P1 군주@3C(8/12); P1 나이트@1D(3/3); P2 비숍@4E(4/4); P2 폰#2@5C(1/1); P2 폰#3@3A(1/1); P2 룩@2F(3/3); P2 군주@2A(6/9); P2 폰#1@5E(1/1); P2 나이트@3F(1/3) | note=random_step=91
T11 P2 MAIN | 턴 종료
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 군주@3C(7/12); P1 나이트@1D(3/3); P2 비숍@4E(4/4); P2 폰#2@5C(1/1); P2 폰#3@3A(1/1); P2 룩@2F(3/3); P2 군주@2A(6/9); P2 폰#1@5E(1/1); P2 나이트@3F(1/3) | note=random_step=92
T12 P1 MAIN | Pawn 소환 -> 1F
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#3@1F(1/1); P1 군주@3C(7/12); P1 나이트@1D(3/3); P2 비숍@4E(4/4); P2 폰#2@5C(1/1); P2 폰#3@3A(1/1); P2 룩@2F(3/3); P2 군주@2A(6/9); P2 폰#1@5E(1/1); P2 나이트@3F(1/3) | note=random_step=93
T12 P1 MAIN | P1 군주 이동 -> 2B
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#3@1F(1/1); P1 군주@2B(7/12); P1 나이트@1D(3/3); P2 비숍@4E(4/4); P2 폰#2@5C(1/1); P2 폰#3@3A(1/1); P2 룩@2F(3/3); P2 군주@2A(6/9); P2 폰#1@5E(1/1); P2 나이트@3F(1/3) | note=random_step=94
T12 P1 MAIN | The Bishop 소환 -> 1E
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#3@1F(1/1); P1 군주@2B(7/12); P1 비숍@1E(3/3); P1 나이트@1D(3/3); P2 비숍@4E(4/4); P2 폰#2@5C(1/1); P2 폰#3@3A(1/1); P2 룩@2F(3/3); P2 군주@2A(6/9); P2 폰#1@5E(1/1); P2 나이트@3F(1/3) | note=random_step=95
T12 P1 MAIN | P1 군주 공격 -> P2 폰#3
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#3@1F(1/1); P1 군주@2B(7/12); P1 비숍@1E(3/3); P1 나이트@1D(3/3); P2 비숍@4E(4/4); P2 폰#2@5C(1/1); P2 룩@2F(3/3); P2 군주@2A(6/9); P2 폰#1@5E(1/1); P2 나이트@3F(1/3) | note=random_step=96
T12 P1 MAIN | P1 비숍 공격 -> P2 룩
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#3@1F(1/1); P1 군주@2B(7/12); P1 비숍@1E(3/3); P1 나이트@1D(3/3); P2 비숍@4E(4/4); P2 폰#2@5C(1/1); P2 룩@2F(2/3); P2 군주@2A(6/9); P2 폰#1@5E(1/1); P2 나이트@3F(1/3) | note=random_step=97
T12 P1 MAIN | 턴 종료
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#3@1F(1/1); P1 군주@2B(7/12); P1 비숍@1E(3/3); P1 나이트@1D(3/3); P2 비숍@4E(4/4); P2 폰#2@5C(1/1); P2 룩@2F(2/3); P2 군주@2A(6/9); P2 폰#1@5E(1/1); P2 나이트@3F(1/3) | note=random_step=98
T13 P2 MAIN | 귤 직장인? 소환 -> 6C
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#3@1F(1/1); P1 군주@2B(7/12); P1 비숍@1E(3/3); P1 나이트@1D(3/3); P2 비숍@4E(4/4); P2 폰#2@5C(1/1); P2 룩@2F(2/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1); P2 나이트@3F(1/3) | note=random_step=99
T13 P2 MAIN | 귤 공주님 사용 | 대상=P2 폰#1
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#3@1F(1/1); P1 군주@2B(7/12); P1 비숍@1E(3/3); P1 나이트@1D(3/3); P2 비숍@4E(4/4); P2 폰#2@5C(1/1); P2 룩@2F(2/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1); P2 나이트@3F(1/3) | note=random_step=100
T13 P2 MAIN | P2 룩 이동 -> 2D
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#3@1F(1/1); P1 군주@2B(7/12); P1 비숍@1E(3/3); P1 나이트@1D(3/3); P2 비숍@4E(4/4); P2 폰#2@5C(1/1); P2 룩@2D(2/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1); P2 나이트@3F(1/3) | note=random_step=101
T13 P2 MAIN | P2 나이트 이동 -> 4D
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#3@1F(1/1); P1 군주@2B(7/12); P1 비숍@1E(3/3); P1 나이트@1D(3/3); P2 비숍@4E(4/4); P2 폰#2@5C(1/1); P2 룩@2D(2/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1); P2 나이트@4D(1/3) | note=random_step=102
T13 P2 MAIN | P2 룩 공격 -> P1 나이트
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#3@1F(1/1); P1 군주@2B(7/12); P1 비숍@1E(3/3); P1 나이트@1D(2/3); P2 비숍@4E(4/4); P2 폰#2@5C(1/1); P2 룩@2D(2/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1); P2 나이트@4D(1/3) | note=random_step=103
T13 P2 MAIN | P2 비숍 이동 -> 5D
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#3@1F(1/1); P1 군주@2B(7/12); P1 비숍@1E(3/3); P1 나이트@1D(2/3); P2 비숍@5D(4/4); P2 폰#2@5C(1/1); P2 룩@2D(2/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1); P2 나이트@4D(1/3) | note=random_step=104
T13 P2 MAIN | P2 폰#2 이동 -> 4C
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#3@1F(1/1); P1 군주@2B(7/12); P1 비숍@1E(3/3); P1 나이트@1D(2/3); P2 비숍@5D(4/4); P2 폰#2@4C(1/1); P2 룩@2D(2/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1); P2 나이트@4D(1/3) | note=random_step=105
T13 P2 MAIN | 턴 종료
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 군주@2B(7/12); P1 비숍@1E(3/3); P1 나이트@1D(2/3); P2 비숍@5D(4/4); P2 폰#2@4C(1/1); P2 룩@2D(2/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1); P2 나이트@4D(1/3) | note=random_step=106
T14 P1 MAIN | P1 나이트 이동 -> 2F
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 군주@2B(7/12); P1 비숍@1E(3/3); P1 나이트@2F(2/3); P2 비숍@5D(4/4); P2 폰#2@4C(1/1); P2 룩@2D(2/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1); P2 나이트@4D(1/3) | note=random_step=107
T14 P1 MAIN | Pawn 소환 -> 1D
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#2@1D(1/1); P1 군주@2B(7/12); P1 비숍@1E(3/3); P1 나이트@2F(2/3); P2 비숍@5D(4/4); P2 폰#2@4C(1/1); P2 룩@2D(2/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1); P2 나이트@4D(1/3) | note=random_step=108
T14 P1 MAIN | P1 군주 이동 -> 3C
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#2@1D(1/1); P1 군주@3C(7/12); P1 비숍@1E(3/3); P1 나이트@2F(2/3); P2 비숍@5D(4/4); P2 폰#2@4C(1/1); P2 룩@2D(2/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1); P2 나이트@4D(1/3) | note=random_step=109
T14 P1 MAIN | P1 군주 공격 -> P2 나이트
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#2@1D(1/1); P1 군주@3C(7/12); P1 비숍@1E(3/3); P1 나이트@2F(2/3); P2 비숍@5D(4/4); P2 폰#2@4C(1/1); P2 룩@2D(2/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1) | note=random_step=110
T14 P1 MAIN | The Rook 소환 -> 1C
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#2@1D(1/1); P1 군주@3C(7/12); P1 비숍@1E(3/3); P1 룩@1C(4/4); P1 나이트@2F(2/3); P2 비숍@5D(4/4); P2 폰#2@4C(1/1); P2 룩@2D(2/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1) | note=random_step=111
T14 P1 MAIN | P1 비숍 공격 -> P2 룩
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#2@1D(1/1); P1 군주@3C(7/12); P1 비숍@1E(3/3); P1 룩@1C(4/4); P1 나이트@2F(2/3); P2 비숍@5D(4/4); P2 폰#2@4C(1/1); P2 룩@2D(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1) | note=random_step=112
T14 P1 MAIN | P1 룩 이동 -> 1B
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#2@1D(1/1); P1 군주@3C(7/12); P1 비숍@1E(3/3); P1 룩@1B(4/4); P1 나이트@2F(2/3); P2 비숍@5D(4/4); P2 폰#2@4C(1/1); P2 룩@2D(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1) | note=random_step=113
T14 P1 MAIN | 턴 종료
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#2@1D(1/1); P1 군주@3C(7/12); P1 비숍@1E(3/3); P1 룩@1B(4/4); P1 나이트@2F(2/3); P2 비숍@5D(4/4); P2 폰#2@4C(1/1); P2 룩@2D(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1) | note=random_step=114
T15 P2 MAIN | 망상의 기사님 소환 -> 6D
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#2@1D(1/1); P1 군주@3C(7/12); P1 비숍@1E(3/3); P1 룩@1B(4/4); P1 나이트@2F(2/3); P2 비숍@5D(4/4); P2 폰#2@4C(1/1); P2 룩@2D(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1); P2 나이트@6D(3/3) | note=random_step=115
T15 P2 MAIN | P2 비숍 이동 -> 4E
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#2@1D(1/1); P1 군주@3C(7/12); P1 비숍@1E(3/3); P1 룩@1B(4/4); P1 나이트@2F(2/3); P2 비숍@4E(4/4); P2 폰#2@4C(1/1); P2 룩@2D(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1); P2 나이트@6D(3/3) | note=random_step=116
T15 P2 MAIN | P2 룩 이동 -> 2A
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#2@1D(1/1); P1 군주@3C(7/12); P1 비숍@1E(3/3); P1 룩@1B(4/4); P1 나이트@2F(2/3); P2 비숍@4E(4/4); P2 폰#2@4C(1/1); P2 룩@2A(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1); P2 나이트@6D(3/3) | note=random_step=117
T15 P2 MAIN | 귤 요정 소환 -> 6F
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#2@1D(1/1); P1 군주@3C(7/12); P1 비숍@1E(3/3); P1 룩@1B(4/4); P1 나이트@2F(2/3); P2 비숍@4E(4/4); P2 폰#2@4C(1/1); P2 폰#3@6F(1/1); P2 룩@2A(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1); P2 나이트@6D(3/3) | note=random_step=118
T15 P2 MAIN | P2 군주 이동 -> 5D
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#2@1D(1/1); P1 군주@3C(7/12); P1 비숍@1E(3/3); P1 룩@1B(4/4); P1 나이트@2F(2/3); P2 비숍@4E(4/4); P2 폰#2@4C(1/1); P2 폰#3@6F(1/1); P2 룩@2A(1/3); P2 군주@5D(6/9); P2 폰#1@5E(1/1); P2 나이트@6D(3/3) | note=random_step=119
T15 P2 MAIN | P2 폰#3 이동 -> 5F
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 폰#2@1D(1/1); P1 군주@3C(7/12); P1 비숍@1E(3/3); P1 룩@1B(4/4); P1 나이트@2F(2/3); P2 비숍@4E(4/4); P2 폰#2@4C(1/1); P2 폰#3@5F(1/1); P2 룩@2A(1/3); P2 군주@5D(6/9); P2 폰#1@5E(1/1); P2 나이트@6D(3/3) | note=random_step=120
T15 P2 MAIN | 턴 종료
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 군주@3C(7/12); P1 비숍@1E(3/3); P1 룩@1B(4/4); P1 나이트@2F(2/3); P2 비숍@4E(4/4); P2 폰#2@4C(1/1); P2 폰#3@5F(1/1); P2 룩@2A(1/3); P2 군주@5D(6/9); P2 폰#1@5E(1/1); P2 나이트@6D(3/3) | note=random_step=121
T16 P1 MAIN | The King 사용 | 대상=P1 군주 | 위치=4B
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 군주@4B(7/12); P1 비숍@1E(3/3); P1 룩@1B(4/4); P1 나이트@2F(2/3); P2 비숍@4E(4/4); P2 폰#2@4C(1/1); P2 폰#3@5F(1/1); P2 룩@2A(1/3); P2 군주@5D(6/9); P2 폰#1@5E(1/1); P2 나이트@6D(3/3) | note=random_step=122
T16 P1 MAIN | P1 룩 이동 -> 2B
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 군주@4B(7/12); P1 비숍@1E(3/3); P1 룩@2B(4/4); P1 나이트@2F(2/3); P2 비숍@4E(4/4); P2 폰#2@4C(1/1); P2 폰#3@5F(1/1); P2 룩@2A(1/3); P2 군주@5D(6/9); P2 폰#1@5E(1/1); P2 나이트@6D(3/3) | note=random_step=123
T16 P1 MAIN | 턴 종료
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 군주@4B(7/12); P1 비숍@1E(3/3); P1 룩@2B(4/4); P1 나이트@2F(2/3); P2 비숍@4E(4/4); P2 폰#2@4C(1/1); P2 폰#3@5F(1/1); P2 룩@2A(1/3); P2 군주@5D(6/9); P2 폰#1@5E(1/1); P2 나이트@6D(3/3) | note=random_step=124
T17 P2 MAIN | P2 룩 이동 -> 5A
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 군주@4B(7/12); P1 비숍@1E(3/3); P1 룩@2B(4/4); P1 나이트@2F(2/3); P2 비숍@4E(4/4); P2 폰#2@4C(1/1); P2 폰#3@5F(1/1); P2 룩@5A(1/3); P2 군주@5D(6/9); P2 폰#1@5E(1/1); P2 나이트@6D(3/3) | note=random_step=125
T17 P2 MAIN | P2 나이트 이동 -> 5B
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 군주@4B(7/12); P1 비숍@1E(3/3); P1 룩@2B(4/4); P1 나이트@2F(2/3); P2 비숍@4E(4/4); P2 폰#2@4C(1/1); P2 폰#3@5F(1/1); P2 룩@5A(1/3); P2 군주@5D(6/9); P2 폰#1@5E(1/1); P2 나이트@5B(3/3) | note=random_step=126
T17 P2 MAIN | P2 군주 이동 -> 6C
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 군주@4B(7/12); P1 비숍@1E(3/3); P1 룩@2B(4/4); P1 나이트@2F(2/3); P2 비숍@4E(4/4); P2 폰#2@4C(1/1); P2 폰#3@5F(1/1); P2 룩@5A(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1); P2 나이트@5B(3/3) | note=random_step=127
T17 P2 MAIN | P2 폰#3 이동 -> 4F
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 군주@4B(7/12); P1 비숍@1E(3/3); P1 룩@2B(4/4); P1 나이트@2F(2/3); P2 비숍@4E(4/4); P2 폰#2@4C(1/1); P2 폰#3@4F(1/1); P2 룩@5A(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1); P2 나이트@5B(3/3) | note=random_step=128
T17 P2 MAIN | P2 폰#2 이동 -> 3C
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 군주@4B(7/12); P1 비숍@1E(3/3); P1 룩@2B(4/4); P1 나이트@2F(2/3); P2 비숍@4E(4/4); P2 폰#2@3C(1/1); P2 폰#3@4F(1/1); P2 룩@5A(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1); P2 나이트@5B(3/3) | note=random_step=129
T17 P2 MAIN | P2 비숍 이동 -> 5F
    -> result=ONGOING P1_HP=7 P2_HP=6 board=P1 군주@4B(7/12); P1 비숍@1E(3/3); P1 룩@2B(4/4); P1 나이트@2F(2/3); P2 비숍@5F(4/4); P2 폰#2@3C(1/1); P2 폰#3@4F(1/1); P2 룩@5A(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1); P2 나이트@5B(3/3) | note=random_step=130
T17 P2 MAIN | 턴 종료
    -> result=ONGOING P1_HP=6 P2_HP=6 board=P1 군주@4B(6/12); P1 비숍@1E(3/3); P1 룩@2B(4/4); P1 나이트@2F(2/3); P2 비숍@5F(4/4); P2 폰#2@3C(1/1); P2 폰#3@4F(1/1); P2 룩@5A(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1); P2 나이트@5B(3/3) | note=random_step=131
T18 P1 MAIN | Pawn 소환 -> 1B
    -> result=ONGOING P1_HP=6 P2_HP=6 board=P1 폰#2@1B(1/1); P1 군주@4B(6/12); P1 비숍@1E(3/3); P1 룩@2B(4/4); P1 나이트@2F(2/3); P2 비숍@5F(4/4); P2 폰#2@3C(1/1); P2 폰#3@4F(1/1); P2 룩@5A(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1); P2 나이트@5B(3/3) | note=random_step=132
T18 P1 MAIN | P1 룩 이동 -> 2C
